City,Region,Country,Latitude,Longitude
Scorton Shores,MA,us,41.7416667,-70.4125000
Revere,MA,us,42.4083333,-71.0125000
Pratt Corner,MA,us,42.4175000,-72.4750000
East Greenfield,MA,us,42.5750000,-72.5819444
Sunnyside,MA,us,42.0625000,-71.8861111
Tafts Corner,MA,us,42.2563889,-71.9600000
Parkwood Beach,MA,us,41.7458333,-70.7000000
Foxboro,MA,us,42.0583333,-71.2500000
Surfside,MA,us,41.2444444,-70.0883333
Windsor,MA,us,42.5116667,-73.0583333
Putnamville,MA,us,42.5861111,-70.9375000
Pleasant Lake,MA,us,41.7138889,-70.0827778
East Village,MA,us,42.3772222,-72.4980556
New Salem,MA,us,42.5041667,-72.3325000
Duncan Knoll,MA,us,42.2055556,-72.5541667
Camp Virginia,MA,us,42.4250000,-71.5805556
Sea View,MA,us,42.1394444,-70.7138889
Camp Edwards,MA,us,41.6569444,-70.5444444
Douglas Corner,MA,us,41.7752778,-70.7919444
Teaticket,MA,us,41.5644444,-70.5963889
Ludlow City,MA,us,42.2202778,-72.4994444
Byfield,MA,us,42.7597222,-70.9486111
South Deerfield,MA,us,42.4772222,-72.6083333
Oakland,MA,us,41.9111111,-71.1388889
Burrage,MA,us,42.0291667,-70.8561111
Harrisville,MA,us,42.7102778,-72.0852778
Booth Corner,MA,us,41.5875000,-71.0888889
East Pembroke,MA,us,42.0791667,-70.7625000
Erving,MA,us,42.6000000,-72.3986111
Green Harbor,MA,us,42.0777778,-70.6500000
West New Boston,MA,us,42.1019444,-73.0958333
Bowens Corners,MA,us,42.6158333,-73.1075000
Lakeview Terrace,MA,us,42.4916667,-73.2405556
Boxboro,MA,us,42.4916667,-71.5277778
Indian Heights,MA,us,41.7591667,-70.6316667
Boxford,MA,us,42.6611111,-70.9972222
Newton Highlands,MA,us,42.3208333,-71.2000000
Elm Grove,MA,us,42.7097222,-72.7041667
Post Island,MA,us,42.2625000,-70.9744444
Mattapoisett,MA,us,41.6583333,-70.8166667
Mount Tom,MA,us,42.2861111,-72.6166667
East Junction,MA,us,41.9083333,-71.3083333
Old Sturbridge Village,MA,us,42.1069444,-72.0991667
Tonset,MA,us,41.8000000,-69.9541667
Mikas Pond,MA,us,41.2833333,-70.1036111
Hillcrest,MA,us,41.6541667,-71.0750000
College Hill,MA,us,42.2333333,-71.8111111
Brooks,MA,us,42.4138889,-71.8986111
Devenscrest,MA,us,42.5500000,-71.5666667
Pigeon Cove,MA,us,42.6736111,-70.6333333
Ellis,MA,us,42.2138889,-71.1916667
Idylwide,MA,us,42.4330556,-71.2525000
Wamesit,MA,us,42.6250000,-71.2638889
Cheapside,MA,us,42.5722222,-72.5861111
Hawley,MA,us,42.5644444,-72.8783333
Katama,MA,us,41.3583333,-70.5075000
Redgate Corner,MA,us,41.6041667,-70.9444444
Chestnut Hill,MA,us,42.3305556,-71.1666667
Charlemont,MA,us,42.6277778,-72.8702778
Hammond Heights,MA,us,42.2738889,-71.8180556
Briggsville,MA,us,42.7155556,-73.0808333
Swansea Center,MA,us,41.7416667,-71.1933333
West Stockbridge Center,MA,us,42.3055556,-73.4027778
South Shrewsbury,MA,us,42.2763889,-71.7166667
Swampscott,MA,us,42.4708333,-70.9180556
Haydenville,MA,us,42.3750000,-72.7013889
East Watertown,MA,us,42.3694444,-71.1625000
Goshen,MA,us,42.4402778,-72.8000000
Butlerville,MA,us,42.1527778,-72.4041667
Otter River,MA,us,42.5977778,-72.0513889
Brockway Corner,MA,us,42.4427778,-71.5611111
Camp Titicut,MA,us,41.9333333,-70.9994444
Bullardville,MA,us,42.6980556,-72.0852778
